,Model,Property,Power,Price
0,Byd F0 2018,Manual,1000 CC,"6,900"
1,Suzuki Alto 2023,manual,800 CC,"8,250"
2,Suzuki Celerio 2019,Automatic,1000 CC,"10,499"
3,Changan E Star 2023,Automatic,0 CC,"10,990"
4,Hyundai Grand i10 2020,Automatic,1250 CC,"11,500"
5,Baic X35 2023,manual / MT,1500 CC,"11,900"
6,Nissan Micra 2020,Automatic,1500 CC,"11,950"
7,Kia Picanto 2021,Automatic,1200 CC,"12,210"
8,Hyundai Atos 2021,Manual,1100 CC,"13,000"
9,Kia Pegas 2021,Manual,1400 CC,"13,400"
10,Mitsubishi Mirage 2021,Automatic / GLX,1200 CC,"13,950"
11,Changan V7 2021,Automatic / Comfort,1500 CC,"14,000"
12,Changan V3 2023,Automatic,"1500 CC
Turbo","14,000"
13,Kia Picanto 2023,Automatic,1200 CC,"14,100"
14,Kia Picanto 2023,Automatic / full option,1200 CC,"14,250"
15,Mitsubishi Attrage 2021,Automatic,1200 CC,"14,500"
16,Lada Vesta 2019,Automatic,1600 CC,"14,500"
17,MG 5 2023,Automatic / STD,1500 CC,"14,900"
18,Byd F3 2022,Automatic / Comfort,1500 CC,"14,950"
19,Changan CX 30 2018,Automatic,1600 CC,"15,000"
20,GAC GA4 2021,Manual,1500 CC,"15,500"
21,Suzuki Baleno 2023,Automatic / GL,1500 CC,"15,500"
22,Renault Logan 2021,Automatic / E2,1600 CC,"16,000"
23,Suzuki Ertiga 2023,Automatic,1500 CC,"16,250"
24,Peugeot 301 2023,Automatic / Allure,1600 CC,"16,500"
25,Changan Eado 2023,Automatic / DT,1600 CC,"16,500"
26,Changan CS 15 2023,Automatic,1500 CC,"16,500"
27,Jac S3 2022,Automatic,1600 CC,"16,700"
28,Suzuki Ciaz 2022,Automatic / GLX,1400 CC,"16,900"
29,Dongfeng A30 2023,Automatic / E 1,1500 CC,"17,000"
30,GAC GS3 2023,Automatic,1500 CC,"17,000"
31,Suzuki Baleno 2023,Automatic / GLX,1500 CC,"17,250"
32,Lada Niva 2022,Automatic,1700 CC,"17,500"
33,Hyundai Accent HCI 2020,Automatic / Full option,1600 CC,"17,500"
34,Senova X25 2019,Automatic,1500 CC,"17,500"
35,Baic X35 2023,Automatic / AT,1500 CC,"17,900"
36,Honda City 2021,Automatic / DX,1500 CC,"17,900"
37,Renault Sandero Step Way 2022,Automatic / B2,1600 CC,"18,000"
38,Lada Granta 2022,Automatic / Liftback,1600 CC,"18,000"
39,GAC GS3 2024,Automatic / GS,1500 CC,"18,400"
40,Dongfeng A30 2023,Automatic / E2,1500 CC,"18,500"
41,Peugeot 208 2019,Automatic,1600 CC,"18,500"
42,Ford EcoSport 2021,Automatic / Trend,1500 CC,"18,900"
43,Renault Zoe 2021,Automatic,0 CC,"18,900"
44,Hyundai Elantra AD 2020,Automatic / Basic,1600 CC,"19,000"
45,Hyundai Accent 2023,Automatic,1400 CC,"19,000"
46,Kia Rio 2022,Automatic / MPI,1600 CC,"19,000"
47,Toyota Yaris 2023,Automatic,1500 CC,"19,500"
48,Opel Astra 2021,Automatic,"1400 CC
Turbo","19,500"
