Index,Model,Trans,Power,Price,brand,Year
0,Byd F0 2018,Manual,1000,6900,Byd,2018
1,Suzuki Alto 2023,Manual,800,8250,Suzuki,2023
2,Suzuki Celerio 2019,Automatic,1000,10499,Suzuki,2019
3,Changan E Star 2023,Automatic,2127,10990,Changan,2023
4,Hyundai Grand i10 2020,Automatic,1250,11500,Hyundai,2020
5,Baic X35 2023,Manual,1500,11900,Baic,2023
6,Nissan Micra 2020,Automatic,1500,11950,Nissan,2020
7,Kia Picanto 2021,Automatic,1200,12210,Kia,2021
8,Hyundai Atos 2021,Manual,1100,13000,Hyundai,2021
9,Kia Pegas 2021,Manual,1400,13400,Kia,2021
10,Mitsubishi Mirage 2021,Automatic,1200,13950,Mitsubishi,2021
11,Changan V7 2021,Automatic,1500,14000,Changan,2021
12,Changan V3 2023,Automatic,1500,14000,Changan,2023
13,Kia Picanto 2023,Automatic,1200,14100,Kia,2023
14,Kia Picanto 2023,Automatic,1200,14250,Kia,2023
15,Mitsubishi Attrage 2021,Automatic,1200,14500,Mitsubishi,2021
16,Lada Vesta 2019,Automatic,1600,14500,Lada,2019
17,MG 5 2023,Automatic,1500,14900,MG,2023
18,Byd F3 2022,Automatic,1500,14950,Byd,2022
19,Changan CX 30 2018,Automatic,1600,15000,Changan,2018
20,GAC GA4 2021,Manual,1500,15500,GAC,2021
21,Suzuki Baleno 2023,Automatic,1500,15500,Suzuki,2023
22,Renault Logan 2021,Automatic,1600,16000,Renault,2021
23,Suzuki Ertiga 2023,Automatic,1500,16250,Suzuki,2023
24,Peugeot 301 2023,Automatic,1600,16500,Peugeot,2023
25,Changan Eado 2023,Automatic,1600,16500,Changan,2023
26,Changan CS 15 2023,Automatic,1500,16500,Changan,2023
27,Jac S3 2022,Automatic,1600,16700,Jac,2022
28,Suzuki Ciaz 2022,Automatic,1400,16900,Suzuki,2022
29,Dongfeng A30 2023,Automatic,1500,17000,Dongfeng,2023
30,GAC GS3 2023,Automatic,1500,17000,GAC,2023
31,Suzuki Baleno 2023,Automatic,1500,17250,Suzuki,2023
32,Lada Niva 2022,Automatic,1700,17500,Lada,2022
33,Hyundai Accent HCI 2020,Automatic,1600,17500,Hyundai,2020
34,Senova X25 2019,Automatic,1500,17500,Senova,2019
35,Baic X35 2023,Automatic,1500,17900,Baic,2023
36,Honda City 2021,Automatic,1500,17900,Honda,2021
37,Renault Sandero Step Way 2022,Automatic,1600,18000,Renault,2022
38,Lada Granta 2022,Automatic,1600,18000,Lada,2022
39,GAC GS3 2024,Automatic,1500,18400,GAC,2024
40,Dongfeng A30 2023,Automatic,1500,18500,Dongfeng,2023
41,Peugeot 208 2019,Automatic,1600,18500,Peugeot,2019
42,Ford EcoSport 2021,Automatic,1500,18900,Ford,2021
43,Renault Zoe 2021,Automatic,2127,18900,Renault,2021
44,Hyundai Elantra AD 2020,Automatic,1600,19000,Hyundai,2020
45,Hyundai Accent 2023,Automatic,1400,19000,Hyundai,2023
46,Kia Rio 2022,Automatic,1600,19000,Kia,2022
47,Toyota Yaris 2023,Automatic,1500,19500,Toyota,2023
48,Opel Astra 2021,Automatic,1400,19500,Opel,2021
49,Kia Cerato 2023,Automatic,1600,19750,Kia,2023
50,Nissan Sunny 2022 Facelift,Automatic,1600,19900,Nissan,2021
51,Jac J7 2023,Automatic,1500,19900,Jac,2023
52,Renault Megane 2021,Automatic,1600,19900,Renault,2021
53,Mitsubishi Xpander 2024,Automatic,1500,20500,Mitsubishi,2024
54,Kia Sonet 2023,Automatic,1500,20750,Kia,2023
55,Jac JS4 2023,Automatic,1500,20900,Jac,2023
56,Nissan Kicks 2022,Automatic,1600,20900,Nissan,2022
57,Chevrolet Groove 2023,Automatic,1500,20950,Chevrolet,2023
58,Changan CS 35 2022,Automatic,1400,21000,Changan,2022
59,Dongfeng S60 2023,Automatic,2127,21500,Dongfeng,2023
60,GAC GS5 2022,Automatic,1500,21900,GAC,2022
61,Honda JAZZ 2022,Automatic,1500,21900,Honda,2022
62,Nissan Sunny 2022 Facelift,Automatic,1600,21900,Nissan,2021
63,Changan Eado plus 2023,Automatic,1400,21900,Changan,2023
64,Mitsubishi ASX 2023,Automatic,2000,21950,Mitsubishi,2023
65,Hyundai Creta 2022,Automatic,1500,22000,Hyundai,2022
66,Dongfeng E70 PRO 2023,Automatic,2127,22000,Dongfeng,2023
67,MG GT 2023,Automatic,1500,22500,MG,2023
68,Honda Civic 2020,Automatic,1600,22500,Honda,2020
69,Chevrolet Groove 2023,Automatic,1500,22750,Chevrolet,2023
70,Nissan Kicks 2022,Automatic,1600,22900,Nissan,2022
71,Mazda 3 2024,Automatic,1600,22900,Mazda,2024
72,MG One 2023,Automatic,1500,22900,MG,2023
73,Bestune E05 2023,Automatic,2127,22900,Bestune,2023
74,Changan CS 35 Plus 2023,Automatic,2000,22900,Changan,2023
75,Baic EU5 Plus 2024,Automatic,2127,22900,Baic,2024
76,Geely Cool Ray 2022,Manual,1500,23000,Geely,2022
77,Hyundai Elantra 2023,Automatic,1600,23500,Hyundai,2023
78,Byd Qin Pro 2022,Automatic,1500,23500,Byd,2022
79,MG GT 2023,Automatic,1500,23500,MG,2023
80,Haval Jolion 2022,Automatic,1500,23500,Haval,2022
81,MG 6 2022,Automatic,1500,23500,MG,2022
82,Nissan LEAF 2020,Automatic,2127,23500,Nissan,2020
83,GAC Aion 2023,Automatic,2127,23750,GAC,2023
84,Opel Corsa E 2024,Automatic,2127,23900,Opel,2024
85,Dongfeng A60 2023,Automatic,1500,24000,Dongfeng,2023
86,Hyundai Ioniq 2021,Automatic,1600,24500,Hyundai,2021
87,MG 6 2022,Automatic,1500,24500,MG,2022
88,Suzuki Jimny 2022,Automatic,1500,24500,Suzuki,2022
89,Chevrolet Malibu 2020,Automatic,1500,24900,Chevrolet,2020
90,Baic X55 2023,Automatic,1500,24900,Baic,2023
91,Chevrolet Captiva 2023,Automatic,1500,25000,Chevrolet,2023
92,Nissan Navara 2022,Manual,2500,25000,Nissan,2022
93,Honda HRV 2021,Automatic,1800,25000,Honda,2021
94,Bestune B70S 2023,Automatic,1500,25500,Bestune,2023
95,MG MG 4 2023,Automatic,2127,25500,MG,2023
96,Kia Seltos 2023,Automatic,1600,25500,Kia,2023
97,GAC GS5 2022,Automatic,1500,25900,GAC,2022
98,Nissan Kicks 2022,Automatic,1600,25900,Nissan,2022
99,Mazda CX 30 2024,Automatic,2000,25900,Mazda,2024
100,Mazda CX 30 2024,Automatic,2000,25900,Mazda,2024
101,Toyota C-HR 2022,Automatic,1800,25900,Toyota,2022
102,GAC GS5 2022,Automatic,1500,25900,GAC,2022
103,Nissan Kicks 2022,Automatic,1600,25900,Nissan,2022
104,Mitsubishi Outlander 2022,Automatic,2400,25950,Mitsubishi,2022
105,Chevrolet Captiva 2024,Automatic,1500,25950,Chevrolet,2024
106,Dongfeng T5 Evo 2023,Automatic,1500,26000,Dongfeng,2023
107,Bestune B70 2023,Automatic,1500,26500,Bestune,2023
108,MG Rx5 2023,Automatic,1500,26500,MG,2023
109,Peugeot E-2008 2023,Automatic,2127,26500,Peugeot,2023
110,Chevrolet Captiva 2023,Automatic,1500,26500,Chevrolet,2023
111,MG One 2023,Automatic,1500,26500,MG,2023
112,Toyota Corolla Cross 2022,Automatic,1800,26750,Toyota,2022
113,Dongfeng AX7 Mach 2023,Automatic,1500,26800,Dongfeng,2023
114,MG ZS EV 2023,Automatic,1500,26900,MG,2023
115,Chevrolet Bolt 2019,Automatic,2127,26900,Chevrolet,2019
116,Kia Sportage 2023,Automatic,1600,27000,Kia,2023
117,Peugeot 508 2019,Automatic,1600,27200,Peugeot,2019
118,Renault Duster 2021,Automatic,2000,27500,Renault,2021
119,Haval Ora 2023,Automatic,2127,27500,Haval,2023
120,Hyundai Kona 2023,Automatic,2127,27500,Hyundai,2023
121,Geely Azkarra 2022,Automatic,1500,27900,Geely,2022
122,Mazda CX 30 2021,Automatic,2000,27900,Mazda,2021
123,Toyota C-HR 2022,Automatic,1800,27900,Toyota,2022
124,Bestune T77 Pro 2022,Automatic,1500,27900,Bestune,2022
125,MG Rx5 2023,Automatic,1500,28500,MG,2023
126,Dongfeng T5 HEV 2024,Automatic,1500,28500,Dongfeng,2024
127,Chevrolet Captiva 2023,Automatic,1500,28500,Chevrolet,2023
128,Peugeot E-2008 2023,Automatic,2127,28500,Peugeot,2023
129,Toyota Corolla Cross 2022,Automatic,1800,28500,Toyota,2022
